absolute_path	component	baseline_lineage	api_rev_016_delta	api_rev_016_disposition	artifact_kind	current_state	validity_decision	execution_evidence
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/e2e/external-channel/external-channel-team-open-delivery.e2e.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/e2e/run-history/run-projection-toolcalls-graphql.e2e.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/e2e/token-usage/token-usage-canonical-execution-address-graphql.e2e.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/e2e/token-usage/token-usage-execution-address-backfill-graphql.e2e.test.ts	server	Removed in prior API/E2E maintenance	no	Unchanged	durable test	absent as approved	Stale / Removed — canonical replacement remains authoritative	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/removed-authority-audit-final.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/fixtures/current-team-run-fixtures.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	shared fixture	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/integration/agent-memory/cross-runtime-memory-persistence.integration.test.ts	server	Added to current maintained inventory by API-REV-016	yes	Updated	durable test	present	Needs Update resolved — schema-v3 rooted TeamRun fixture; 16/16 current memory persistence	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/integration/agent-team-execution/task-delegation-tool-lifecycle.integration.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/integration/api/runtime-selection-top-level.integration.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/integration/app-data-migrations/team-run-metadata-member-tree-history.integration.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/integration/application-backend/application-backend-custom-websocket.integration.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/integration/application-backend/application-backend-mount-route-transport.integration.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/integration/application-backend/application-backend-rest-ws.integration.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/integration/application-backend/application-context-capabilities.integration.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-collaboration/collaboration-logical-address.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-execution/backends/autobyteus/autobyteus-agent-run-backend-factory.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-execution/backends/claude/events/claude-session-event-converter.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-execution/backends/claude/session/claude-session-tool-use-coordinator.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-execution/backends/claude/team-communication/team-member-claude-session-bootstrap-strategy.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-execution/backends/codex/events/codex-thread-event-converter.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-execution/backends/codex/history/codex-thread-history-item-normalizer.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-execution/backends/codex/team-communication/team-member-codex-thread-bootstrap-strategy.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-memory/agent-run-memory-recorder.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-team-execution/inter-agent-message-delivery-intent-builder.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-team-execution/inter-agent-message-runtime-builders.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-team-execution/member-collaboration-instruction-provider-parity.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-team-execution/member-run-instruction-composer.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-team-execution/mixed-sub-team-member-handle.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-team-execution/mixed-team-manager.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-team-execution/send-message-to-tool-argument-parser.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-team-execution/task-delegation-service.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-team-execution/task-delegation-target-mapper.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-team-execution/team-logical-placement-resolver.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-team-execution/team-manager-member-interrupt.test.ts	server	Integrated retained coverage from API-REV-015	yes	Updated	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-team-execution/team-member-delivery-coordinator.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-tools/task-delegation/task-delegation-autobyteus-context.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-tools/task-delegation/task-delegation-runtime-descriptions.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/unit/agent-tools/team-communication/send-message-to.test.ts	server	Integrated retained coverage from API-REV-015	no	Unchanged	durable test	present	Still Valid / Revalidated — current integrated contract	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-016/current-server-selection-final-rerun.log
