kind	id	result	verification	evidence_tokens
UC	UC-001	PASS	A persistent Agent delegates to any other Agent in the same root, including deep and cross-branch targets.	CORE,LIVE5
UC	UC-002	PASS	A persistent Agent delegates to any non-root mounted AgentTeam, including sibling, descendant, immediate, and ancestor Teams.	CORE,LIVE5
UC	UC-003	PASS	`send_message_to.recipient_address` and `delegate_task.recipient_address` accept canonical absolute addresses only.	CORE,STATIC
UC	UC-004	PASS	A task-Team Agent delegates inside its current task-Team subtree and the assignee is hosted by the exact configured TeamRun inside the caller's nearest enclosing task-Team subtree.	CORE,LIVE5
UC	UC-005	PASS	A task-scoped Agent delegates outside its current task-Team subtree and the assignee is hosted by the persistent target-owner Team execution.	CORE
UC	UC-006	PASS	A task Agent delegates nested work; the task edge remains exact even when execution containment differs.	CORE,LIVE5
UC	UC-007	PASS	Direct peer-Agent and child-Team delegation continue under the generalized rule.	CORE,LIVE5
UC	UC-008	PASS	Live and restored frontend projections show truthful execution containment and independently joined task/message relationships.	WEB,RESTORE,MOBILE
UC	UC-009	PASS	Invalid addresses, identities, records, or state fail before externally visible active mutation.	CORE,STATIC
UC	UC-010	PASS	AutoByteus, Codex, and Claude expose identical tool and system-instruction semantics.	CORE,CODEX,LIVE5
UC	UC-011	PASS	Delegator and assignee exchange ordinary exact-run messages while formal submit/review remains task-owned.	CORE,CLASSROOM,CODEX
UC	UC-012	PASS	Multiple tasks to the same logical target create independent run identities and lifecycles.	CORE,WEB
UC	UC-013	PASS	Root teardown removes only that root's state, indexes, and live task executions.	CORE
UC	UC-014	PASS	A root with no tasks persists an execution tree plus empty task/message files.	PACKAGE
UC	UC-015	PASS	Active Agent and AgentTeam tasks persist exact task roots and can be projected after read.	PACKAGE,RESTORE
UC	UC-016	PASS	Settled task executions remain durable history but are excluded from the live UI tree.	CORE,WEB,RESTORE
UC	UC-017	FAIL	After a real process restart, the first public history read still exposed the stale task as active with settled_at null; only explicit restore repaired it. Startup did not terminalize before listen.	RESTART_FAIL,CORE
UC	UC-018	PASS	Supported predecessor Team/history/task/message/token/external data migrates once to the current schema without runtime dual readers.	MIGRATION,SAFE
UC	UC-019	PASS	Application framework packages take a direct V6 current-contract cut; unsupported application data is discarded/rebuilt.	MIGRATION,WEB,BUILDS
UC	UC-020	PASS	In live Team navigation, an Agent task appears underneath its logical Agent placement and focuses its exact AgentRun; an AgentTeam task appears underneath its logical Team placement and expands into the exact fresh TeamRun members.	WEB,DESKTOP,MOBILE
UC	UC-021	PASS	A cross-branch message, command, task activation, or settlement is authorized at `RootTeamRun`, resolved to one exact containing `TeamRun`, and executed by that TeamRun's local manager without child-to-root bubbling or global-directory access from the manager.	CORE,STATIC
AC	AC-001	PASS	`/requirements_team/requirements_lead` delegates to `/engineering_team/developer`; a fresh task Agent activates instead of adjacency rejection.	CORE,LIVE5
AC	AC-002	PASS	The same caller delegates to peer, deep descendant, cross-branch, immediate Team, and ancestor Team targets by exact absolute address.	CORE,LIVE5
AC	AC-003	PASS	Relative, bare, traversal, noncanonical, root-only, absent, and Agent-intermediate addresses fail with deterministic codes and zero task/message mutation.	CORE,STATIC
AC	AC-004	PASS	Another root is never searched; exact logical Agent self-target fails; the adjacency error/code is absent.	CORE,STATIC
AC	AC-005	PASS	Delegating to `/engineering_team` creates a fresh TeamRun and returns its configured coordinator AgentRun ID.	CORE,LIVE5
AC	AC-006	PASS	`/` is rejected for both tools; the root coordinator's explicit Agent address works.	CORE,LIVE5
AC	AC-007	PASS	Every Team target uses the one configured coordinator mapping; missing/inconsistent ingress fails before activation.	CORE,LIVE5
AC	AC-008	PASS	Concurrent calls from different child TeamRuns in one root receive unique task IDs and serialized root activation decisions through the same task-command queue used by every lifecycle mutation.	CORE
AC	AC-009	PASS	Exact task Agent submit and exact delegator review work across branches; forged address-equivalent identities fail. Two valid transitions for different tasks forced to read the same initial test barrier both remain in the committed file and memory in command-admission order; two transitions for the same task revalidate so only the first source-state-valid command succeeds.	CORE
AC	AC-010	PASS	Team submit succeeds only from the exact fresh Team coordinator AgentRun.	CORE
AC	AC-011	PASS	Accepted/interrupted Agent or AgentTeam tasks settle only after root-ledger child tasks close and the selected local execution can obtain one reversible quiescence capability. Quiescence rejects new input, waits every already-submitted message reservation and released dispatch to resolve, then rechecks local idle/open-work state without terminating or unregistering the execution before durability.	CORE
AC	AC-012	PASS	A caller inside task Team `/qa` delegates to `/qa/automation/tester`; `/qa` is the nearest enclosing compatible Team subtree, configured-member descent selects that task subtree's `/qa/automation` TeamRun, and the fresh Agent is hosted there rather than under persistent `/qa/automation`.	CORE,WEB,LIVE5
AC	AC-013	PASS	A caller inside nested task Team `/qa/automation` delegates to `/qa/tester`; `/qa/automation` does not contain target parent `/qa`, so the caller's exact ancestor task TeamRun `/qa` is selected and hosts the fresh task Agent.	CORE,WEB,LIVE5
