status	scope	path	decision	evidence
M	server	autobyteus-server-ts/tests/e2e/external-channel/external-channel-team-open-delivery.e2e.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/e2e/runtime/claude-agent-websocket-interrupt-resume.e2e.test.ts	Needs Update / Currentized / Revalidated	API-REV-034 claude-websocket-currentized-final.log; integrated-current-server-final.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/e2e/token-usage/token-usage-canonical-execution-address-graphql.e2e.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/fixtures/current-team-run-fixtures.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/integration/agent-team-execution/agent-team-run-manager.integration.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/integration/agent-team-execution/mixed-team-run-backend.integration.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/integration/agent-team-execution/task-delegation-tool-lifecycle.integration.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
A	server	autobyteus-server-ts/tests/integration/agent-team-execution/team-agent-segment-admission.integration.test.ts	Add Durable Coverage / Revalidated	API-REV-036 segment-lifecycle-team-focused-round1.log; current-server-selection-final3.log; six-row real browser/provider matrix
M	server	autobyteus-server-ts/tests/integration/agent-team-execution/team-conversation-target-websocket.integration.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/integration/agent-team-execution/team-run-service.integration.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/integration/agent-tools/mcp/agent-tools-mcp-routes.integration.test.ts	Needs Update / Currentized / Revalidated	API-REV-034 currentized-server-seams.log; mcp-routes-isolated.log; API-REV-036 broad current selection and production build
D	server	autobyteus-server-ts/tests/integration/agent/agent-team-websocket.integration.test.ts	Stale / Remove	API-REV-036 pre-removal decision; replacement team-agent-segment-admission and strict Team mapper coverage; current-server-selection-final3.log
D	server	autobyteus-server-ts/tests/integration/agent/team-lifecycle-websocket.integration.test.ts	Stale / Remove	API-REV-036 pre-removal decision; replacement current lifecycle and Team segment coverage; current-server-selection-final3.log
M	server	autobyteus-server-ts/tests/integration/api/runtime-selection-top-level.integration.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/integration/app-data-migrations/team-run-metadata-member-tree-history.integration.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/integration/run-history/memory-layout-and-projection.integration.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/agent-execution/backends/autobyteus/autobyteus-agent-run-backend-factory.test.ts	Needs Update / Currentized / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/agent-execution/backends/autobyteus/events/autobyteus-stream-event-converter.test.ts	Needs Update / Currentized / Revalidated	API-REV-036 focused currentization logs; current-server-selection-final3.log or current-web-selection.log; production build; fresh browser/provider matrix where applicable
M	server	autobyteus-server-ts/tests/unit/agent-execution/backends/claude/backend/claude-session-bootstrapper.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/agent-execution/backends/claude/events/claude-session-event-converter.test.ts	Needs Update / Currentized / Revalidated	API-REV-036 focused currentization logs; current-server-selection-final3.log or current-web-selection.log; production build; fresh browser/provider matrix where applicable
M	server	autobyteus-server-ts/tests/unit/agent-execution/backends/claude/session/claude-session-tool-gating.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/agent-execution/backends/codex/backend/codex-thread-bootstrapper.test.ts	Needs Re-review / Revalidated	API-REV-034 integrated-current-server-final.log; server-build-full.log; API-REV-036 broad current selection and production build
M	server	autobyteus-server-ts/tests/unit/agent-execution/backends/codex/events/codex-reasoning-block-converter.test.ts	Needs Update / Currentized / Revalidated	API-REV-036 focused currentization logs; current-server-selection-final3.log or current-web-selection.log; production build; fresh browser/provider matrix where applicable
