absolute_path	component	git_disposition	artifact_kind	in_current_delta	validity_decision	execution_evidence
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/e2e/external-channel/external-channel-team-open-delivery.e2e.test.ts	server	Updated	durable test	yes	Still Valid / Maintained — executable current-contract coverage	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-015/changed-server-tests-final.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/e2e/run-history/run-projection-toolcalls-graphql.e2e.test.ts	server	Updated	durable test	yes	Still Valid / Maintained — executable current-contract coverage	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-015/changed-server-tests-final.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/e2e/runtime/all-runtime-send-message-matrix.e2e.test.ts	server	Restored to HEAD	durable test	no	Replace / Restore — prior capability-gated runtime suite is stale current setup; current durable API/unit coverage and API-REV-014 real three-runtime matrix are authoritative	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-015/restored-stale-paths-final.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/e2e/runtime/autobyteus-team-runtime-graphql.e2e.test.ts	server	Restored to HEAD	durable test	no	Replace / Restore — prior capability-gated runtime suite is stale current setup; current durable API/unit coverage and API-REV-014 real three-runtime matrix are authoritative	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-015/restored-stale-paths-final.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/e2e/runtime/claude-team-inter-agent-roundtrip.e2e.test.ts	server	Restored to HEAD	durable test	no	Replace / Restore — prior capability-gated runtime suite is stale current setup; current durable API/unit coverage and API-REV-014 real three-runtime matrix are authoritative	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-015/restored-stale-paths-final.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/e2e/runtime/codex-team-inter-agent-roundtrip.e2e.test.ts	server	Restored to HEAD	durable test	no	Replace / Restore — prior capability-gated runtime suite is stale current setup; current durable API/unit coverage and API-REV-014 real three-runtime matrix are authoritative	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-015/restored-stale-paths-final.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/e2e/runtime/mixed-task-delegation.e2e.test.ts	server	Restored to HEAD	durable test	no	Replace / Restore — prior capability-gated runtime suite is stale current setup; current durable API/unit coverage and API-REV-014 real three-runtime matrix are authoritative	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-015/restored-stale-paths-final.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/e2e/runtime/mixed-team-runtime-graphql.e2e.test.ts	server	Restored to HEAD	durable test	no	Replace / Restore — prior capability-gated runtime suite is stale current setup; current durable API/unit coverage and API-REV-014 real three-runtime matrix are authoritative	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-015/restored-stale-paths-final.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/e2e/runtime/nested-mixed-team-runtime-graphql.e2e.test.ts	server	Restored to HEAD	durable test	no	Replace / Restore — prior capability-gated runtime suite is stale current setup; current durable API/unit coverage and API-REV-014 real three-runtime matrix are authoritative	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-015/restored-stale-paths-final.log
/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/autobyteus-server-ts/tests/e2e/token-usage/token-usage-canonical-execution-address-graphql.e2e.test.ts	server	Added	durable test	yes	Still Valid / Maintained — executable current-contract coverage	/Users/normy/autobyteus_org/autobyteus-worktrees/agent-team-hierarchical-handoffs/tickets/in-progress/agent-team-hierarchical-handoffs/api-e2e-evidence-sr015/api-rev-015/changed-server-tests-final.log
